Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.25     0.00       36     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<Piece*>)({parm#3}))) std::allocator_traits<std::allocator<Piece*> >::construct<Piece*, Piece*>(std::allocator<Piece*>&, Piece**, Piece*&&)
  0.00      3.25     0.00       36     0.00     0.00  void std::vector<Piece*, std::allocator<Piece*> >::_M_insert_aux<Piece*>(__gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&)
  0.00      3.25     0.00       36     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::insert(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&)
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > std::vector<Piece*, std::allocator<Piece*> >::emplace<Piece*>(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&)
  0.00      3.25     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.00      3.25     0.00       36     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(unsigned long, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.25     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&)
  0.00      3.25     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> >&&)
  0.00      3.25     0.00       36     0.00     0.00  void std::__alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&)
  0.00      3.25     0.00       36     0.00     0.00  void std::__do_alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      3.25     0.00       36     0.00     0.00  std::remove_reference<std::allocator<int>&>::type&& std::move<std::allocator<int>&>(std::allocator<int>&)
  0.00      3.25     0.00       36     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
